agent,timestep,ep_reward,ep_length
market_maker,252,128.188472,252
market_maker,504,139.576784,252
market_maker,756,35.819292,252
market_maker,1008,158.067802,252
market_maker,1260,171.107727,252
market_maker,1512,179.312712,252
market_maker,1764,191.862493,252
market_maker,2016,220.365343,252
market_maker,2049,19.460051,33
market_maker,2301,127.035425,252
market_maker,2553,63.732444,252
market_maker,2805,166.738751,252
market_maker,3057,-30.499528,252
market_maker,3309,175.800488,252
market_maker,3561,94.722114,252
market_maker,3813,191.968099,252
market_maker,4065,229.129334,252
market_maker,4097,39.600619,32
market_maker,4349,182.249716,252
market_maker,4601,93.790551,252
market_maker,4853,127.263887,252
market_maker,5105,242.849324,252
market_maker,5357,178.214839,252
market_maker,5609,240.109924,252
market_maker,5861,137.048497,252
market_maker,6113,219.913078,252
market_maker,6145,-22.186601,32
market_maker,6397,320.186413,252
market_maker,6649,182.877198,252
market_maker,6901,258.469626,252
market_maker,7153,297.240185,252
market_maker,7405,129.381487,252
market_maker,7657,188.018662,252
market_maker,7909,151.369006,252
market_maker,8161,154.671522,252
market_maker,8193,73.778674,32
market_maker,8445,359.853467,252
market_maker,8697,448.972011,252
market_maker,8949,358.920448,252
market_maker,9201,307.605449,252
market_maker,9453,366.168578,252
market_maker,9705,322.856287,252
market_maker,9957,273.679889,252
market_maker,10209,151.697383,252
portfolio,252,33.509971,252
portfolio,504,38.443967,252
portfolio,756,36.041393,252
portfolio,1008,37.767666,252
portfolio,1260,35.771778,252
portfolio,1512,34.872746,252
portfolio,1764,37.144663,252
portfolio,2016,38.018306,252
portfolio,2049,3.641592,33
portfolio,2301,36.702681,252
portfolio,2553,35.124846,252
portfolio,2805,37.065763,252
portfolio,3057,35.53239,252
portfolio,3309,37.811973,252
portfolio,3561,36.050572,252
portfolio,3813,35.14831,252
portfolio,4065,35.800493,252
portfolio,4097,2.739213,32
portfolio,4349,36.251048,252
portfolio,4601,39.97814,252
portfolio,4853,34.483862,252
portfolio,5105,37.56573,252
portfolio,5357,35.933059,252
portfolio,5609,36.932677,252
portfolio,5861,36.988865,252
portfolio,6113,34.860974,252
portfolio,6145,2.856593,32
portfolio,6397,36.185774,252
portfolio,6649,35.142366,252
portfolio,6901,36.888167,252
portfolio,7153,35.936679,252
portfolio,7405,36.720098,252
portfolio,7657,33.126893,252
portfolio,7909,34.695205,252
portfolio,8161,36.392798,252
portfolio,8193,2.708189,32
portfolio,8445,34.714147,252
portfolio,8697,37.682477,252
portfolio,8949,34.716295,252
portfolio,9201,36.70168,252
portfolio,9453,36.671046,252
portfolio,9705,35.848488,252
portfolio,9957,36.833404,252
portfolio,10209,36.331736,252
